,Car,FakePrice,Age,FakeMileage,Porsche,Price,Mileage,,,,,,,,
1,Porsche,69.4,3,21.5,1,69400,21500,,,,,,,,
2,Porsche,56.9,3,43,1,56900,43000,,,,,,,,
3,Porsche,49.9,2,19.9,1,49900,19900,,,,,,,,
4,Porsche,47.4,4,36,1,47400,36000,,,,,,,,
5,Porsche,42.9,4,44,1,42900,44000,,,,,,,,
6,Porsche,36.9,6,49.8,1,36900,49800,,,,,,,,
7,Porsche,83.0,0,1.3,1,83000,1300,,,,,,,,
8,Porsche,72.9,0,0.67,1,72900,670,,,,,,,,
9,Porsche,69.9,2,13.4,1,69900,13400,,,,,,,,
10,Porsche,67.9,0,9.7,1,67900,9700,,,,,,,,
11,Porsche,66.5,2,15.3,1,66500,15300,,,,,,,,
12,Porsche,64.9,2,9.5,1,64900,9500,,,,,,,,
13,Porsche,58.9,4,19.1,1,58900,19100,,,,,,,,
14,Porsche,57.9,3,12.9,1,57900,12900,,,,,,,,
15,Porsche,54.9,10,33.9,1,54900,33900,,,,,,,,
16,Porsche,54.7,11,26,1,54700,26000,,,,,,,,
17,Porsche,53.7,4,20.4,1,53700,20400,,,,,,,,
18,Porsche,51.9,4,27.5,1,51900,27500,,,,,,,,
19,Porsche,51.9,10,51.7,1,51900,51700,,,,AVG Price,,AVG Age,,AVG Mileage
20,Porsche,49.9,3,32.4,1,49900,32400,,,,50536.66667,,6.2,,34872.33333
21,Porsche,44.9,4,44.1,1,44900,44100,,,SD,15542.21134,,5.77003755,,23109.35592
22,Porsche,44.8,13,49.8,1,44800,49800,,,,,,,,
23,Porsche,39.9,6,35,1,39900,35000,,,,,,,,
24,Porsche,39.7,6,20.5,1,39700,20500,,,,,,,,
25,Porsche,34.9,8,62,1,34900,62000,,,,,,,,
26,Porsche,33.9,7,50.4,1,33900,50400,,,,,,,,
27,Porsche,23.9,20,89.6,1,23900,89600,,,,,,,,
28,Porsche,22.9,22,83.4,1,22900,83400,,,,,,,,
29,Porsche,16.0,20,86,1,16000,86000,,,,,,,,
30,Porsche,52.9,3,37.4,1,52900,37400,,,,,,,,
